word,length,M AROU,SD AROU,N AROU,M VAL,SD VAL,N VAL,M DOM,SD DOM,N DOM,M CNC,SD CNC,N CNC,M IMAG,SD IMAG,N IMAG,M FAM,SD FAM,N FAM,M AOA,SD AOA,N AOA,M SIZE,SD SIZE,N SIZE,M GEND,SD GEND,N GEND
goat,4,3.8065,2.2058,31,5.3793,0.8057,29,5.3448,1.3715,29,6.8462,0.4551,26,6.4286,1.1369,21,5.6957,1.4872,23,2.4,0.9522,30,3,1.1072,31,4.72,0.6645,25
goblet,6,4.6471,2.1677,34,5.0313,0.8472,32,5.2647,1.4206,34,6.1515,1.2821,33,6.2857,1.0842,35,3.9697,1.7318,33,5,1.1711,35,3.5143,1.6797,35,4.6471,1.0256,34
goblin,6,4.2,2.3519,35,3.1143,1.1154,35,4.7353,1.4814,34,4.7714,1.9579,35,5.9118,1.6336,34,3.7941,1.8752,34,2.9714,1.3413,35,3.1515,1.1838,33,5.5882,1.0605,34
god,3,4.5625,2.3176,32,5.4848,1.8111,33,4.9063,2.4794,32,2.2727,1.7281,33,3.0303,2.0668,33,6.3548,1.3087,31,2.303,0.8699,33,6.0625,1.4777,32,5.2121,1.2734,33
goddess,7,6.2286,2.205,35,7.8,1.369,35,6.2,2.4934,35,2.7941,1.641,34,5.2286,1.7417,35,4.9714,1.7318,35,4.4706,1.377,34,5.8571,1.0459,35,1.1714,0.5063,35
gods,4,5.25,2.3717,32,6.1176,1.745,34,4.9706,2.9949,34,2.8571,2.1797,35,4.1143,2.011,35,5.4839,1.7757,31,3.4857,1.5189,35,6.0313,1.4028,32,4.8571,1.5333,35
goggles,7,3.7879,1.9347,33,5.3438,1.1349,32,5.1212,0.9457,33,6.2258,1.2368,31,6.2667,1.0934,30,5.2903,1.6103,31,3.4118,1.3087,34,3.0313,1.4466,32,4.1935,1.0601,31
gold,4,6.4545,1.9399,33,7.5,1.5387,34,6.2121,1.6285,33,6.5152,0.8918,33,6.6667,0.586,33,5.8621,1.3319,29,2.6471,1.0256,34,4.5313,1.8369,32,3.4848,1.459,33
golden,6,5.8,2.2399,35,7.5152,1.3953,33,5.7879,1.9347,33,4.697,1.7318,33,5.2353,2.0872,34,4.9655,1.9384,29,2.9429,1.286,35,4.7941,1.4709,34,2.5882,1.263,34
goldfish,8,3.4375,1.9029,32,5.7188,1.2307,32,4.7813,1.8996,32,6.7188,0.6724,32,6.7813,0.4831,32,5.8929,1.3974,28,2.303,0.7582,33,2.0606,1.3693,33,3.5938,0.8609,32
golf,4,3.7647,2.0301,34,5.0606,1.4342,33,5.2813,1.7542,32,6.3438,1.1071,32,6.5152,1.1043,33,5.3929,1.8389,28,3.3235,0.8984,34,3.3939,1.4759,33,5.7879,1.0078,33
golfer,6,3.4706,2.2523,34,5.2286,0.9881,35,5.7742,1.361,31,6.3235,0.9917,34,6.2581,1.0767,31,5,1.479,32,3.9412,1.1099,34,3.75,1.2247,32,5.9118,0.9193,34
good,4,5.9394,2.2285,33,8.1515,1.2339,33,6.2813,1.6627,32,2.8125,1.6477,32,3.6875,1.8445,32,6.5769,0.8846,26,1.9118,1.0946,34,4.7742,1.1835,31,3.6129,0.9394,31
goodbye,7,3.9118,2.1056,34,3.1471,1.141,34,4.75,2.222,32,3.6765,1.936,34,3.8857,1.8326,35,6.5625,0.6585,32,1.4412,0.5526,34,4.8235,1.5991,34,3.8235,1.0137,34
goodness,8,6.3438,1.5931,32,8.2813,0.8744,32,5.9688,1.5509,32,2.4063,1.4547,32,2.7742,1.2879,31,5.3478,1.2018,23,3.375,1.1659,32,5.1875,1.3564,32,2.8462,0.9484,26
goofy,5,4.9118,2.0774,34,5.5,1.6134,34,5.2059,1.7283,34,2.7273,1.5623,33,4.4375,1.6571,32,4.871,1.6012,31,3.2941,1.0718,34,3.3529,1.2098,34,5,0.9211,33
goose,5,3.7647,1.8796,34,5.4242,0.6976,33,5.2571,1.1299,35,6.4286,1.178,35,6.2941,1.0155,34,5.625,1.3405,32,2.4412,1.0625,34,2.9714,1.3625,35,3.8857,0.9187,35
gore,4,6.2333,2.2462,30,2.7241,1.529,29,4.2258,1.6793,31,4.2188,1.6343,32,4.7097,1.6302,31,4.1379,1.7165,29,5.1667,1.0028,30,4.1,1.106,30,5.5926,0.991,27
gorge,5,4.8387,1.8682,31,4.4839,1.7757,31,5.1563,1.4385,32,4.875,1.691,32,4.6364,1.8719,33,3.9394,2.0881,33,5.6875,1.0735,32,5,1.6514,33,4.8,1.0456,30
gorge (canyon),5,5.7,2.0518,30,5.1212,1.1999,33,4.6875,2.2141,32,6.1429,1.334,35,6.0313,1.2866,32,3.0909,1.9285,33,5.4412,1.2647,34,6.3143,1.1655,35,4.9706,1.0977,34
gorge (overeat),5,4.6667,2.1415,33,2.8788,1.3873,33,4.3235,2.4341,34,4.4,1.6071,35,5.1471,1.4376,34,4.2727,1.7104,33,5.2941,1.1765,34,4.8788,1.647,33,4.2424,1.1018,33
gorgeous,8,7.5,1.3985,34,8.0857,1.2955,35,6.6,2.1003,35,2.8788,1.719,33,4.9714,1.9491,35,6.2143,0.9768,28,3.9706,1.3609,34,5.2,1.3898,35,1.6857,1.0357,35
gorilla,7,4.4,2.6281,30,5.5313,1.4787,32,5.4839,1.8815,31,6.9063,0.2915,32,6.8571,0.4403,28,4.8846,1.6716,26,2.8485,1.1314,33,4.8387,1.9526,31,5.625,1.2686,32
gossip,6,5.7059,2.1217,34,3.5882,1.6824,34,4.8286,2.5577,35,3,1.3229,32,4,2.0284,35,6.0625,0.9662,32,5.1714,0.9098,35,4.5429,1.3168,35,1.8235,0.9843,34
gothic,6,4.7188,2.1684,32,4.2647,1.3998,34,5.4848,1.7773,33,4.0303,1.5073,33,5.3333,1.3853,33,4.3,1.8824,30,5.4848,1.2339,33,4.3939,1.4342,33,3.5152,1.3734,33
govern,6,4.3939,1.9218,33,4.9394,1.5943,33,5.1212,2.9414,33,2.875,1.5155,32,2.9697,1.2428,33,4.6154,1.3032,26,5.1875,1.1302,32,5.6207,0.9253,29,5.1786,1.2263,28
government,10,3.9375,2.2212,32,3.3871,1.6593,31,3.5588,2.7137,34,5.5294,1.46,34,4.9697,1.8827,33,5.9,1.3,30,4.5882,1.0035,34,5.8438,1.1211,32,5.9118,1.0674,34
grab,4,5.4375,1.6759,32,3.6667,0.8762,33,5.6129,2.3373,31,4.7188,1.3746,32,5.1563,1.4601,32,6.2308,1.1867,26,2.625,0.927,32,4.0645,1.2427,31,4.5806,1.0709,31
grace,5,4.6857,2.3394,35,7.3235,1.6219,34,5.1143,1.9387,35,2.7143,1.3432,35,3.3529,1.4118,34,4.6667,1.9332,33,4.2,1.5269,35,4.3235,1.5286,34,1.9143,0.9062,35
graceful,8,5.1471,2.1575,34,7.7576,1.2068,33,5.9091,1.9441,33,2.9355,1.6836,31,4.8235,1.6355,34,4.9032,1.6916,31,4.4571,1.1299,35,4.2121,1.4721,33,1.8485,0.7832,33
grade,5,4.6129,2.4053,31,6.0909,1.6943,33,5.6667,2.0101,33,3.8438,1.734,32,4,1.9203,32,5.9286,1.4621,28,4.0588,1.1867,34,4,1.4811,31,3.8125,0.9164,32
grade (mark),5,4.1471,2.198,34,5.1765,1.5991,34,4.4118,1.9269,34,4.6471,1.6783,34,4.5294,1.5384,34,6.2813,0.9758,32,4.1765,1.0973,34,4.0588,1.6439,34,4.3529,0.9965,34
grade (slope),5,3.2571,1.7295,35,4.9091,0.933,33,5.0303,1.7142,33,4.7059,1.4044,34,4.3143,1.8635,35,3.3125,1.7219,32,5.8571,1.2454,35,4.4706,1.3114,34,4.1471,0.8092,34
gradual,7,3.3333,1.9488,33,5.2813,0.7998,32,5.1818,1.3132,33,3.1765,1.6533,34,2.9706,1.7061,34,5.3667,1.4941,30,5.0882,1.1211,34,3.5455,1.1035,33,3.697,0.5214,33
graduate,8,6.1765,2.1621,34,7.7429,1.0782,35,6.9118,1.9458,34,5.5455,1.5972,33,5.9091,1.264,33,5.8182,1.3132,33,5.8286,0.9706,35,5.2121,1.297,33,3.9412,1.0556,34
graduation,10,6.3939,2.0881,33,7.7714,1.3956,35,5.7647,2.3771,34,5.0857,1.7948,35,5.7059,1.2955,34,6.0857,1.1051,35,5.3714,1.0977,35,5.9412,0.8381,34,4.1176,0.5823,34
grain,5,3.3939,1.4962,33,5.3125,0.583,32,5.1765,1.5237,34,6.2353,0.8765,34,6.3438,0.8877,32,4.9355,1.5226,31,3.7429,0.9955,35,1.4412,0.9453,34,4.2121,1.1483,33
grain (sand),5,3.4857,2.0476,35,5.2941,0.787,34,4.7941,1.4507,34,6.4286,0.8713,35,6.4286,0.9346,35,5,1.6514,33,3.4,1.0198,35,1.3714,1.0166,35,3.8235,0.8565,34
grain (wheat),5,2.4375,1.4564,32,5.875,1.3863,32,5.1724,1.9131,29,6.2903,1.3,31,6.0909,1.1899,33,5.2813,1.8411,32,3.6667,1.1721,33,2.0303,1.5664,33,3.8387,1.0805,31
grammar,7,3.1765,1.9474,34,5.3636,1.3216,33,5.3143,1.6173,35,3.6061,1.7912,33,2.8286,1.5397,35,5.5161,1.4783,31,4.0294,0.9544,34,3.8,1.2829,35,3.9706,1.0142,34
grampa,6,4,2.4618,33,7.1212,1.3873,33,4.9394,1.6319,33,6.2813,1.2051,32,6.4857,0.6916,35,4.9355,2.1089,31,1.9143,1.0789,35,4.4848,1.3055,33,6.4286,0.9346,35
grandfather,11,4.1765,1.9474,34,6.8438,1.4385,32,5.2121,1.647,33,6.4194,1.0709,31,6.4063,0.8609,32,6.1786,1.1037,28,2.3235,1.4084,34,5.0294,1.5994,34,6.4118,0.943,34
grandma,7,3.8438,2.0327,32,7.3824,1.3287,34,4.1143,1.72,35,6.3939,1.1265,33,6.6061,0.8506,33,6.2188,1.5759,32,1.4706,0.7371,34,3.6667,1.4453,30,1.1765,0.5673,34
grandmother,11,4.2286,2.4271,35,7.25,1.5523,36,5.0857,2.0753,35,6.3714,1.1973,35,6.7879,0.4772,33,6.7407,0.5833,27,1.9722,1.1423,36,4.5294,1.7018,34,1.2222,0.5329,36
grandpa,7,4.0313,1.8622,32,6.6786,1.4406,28,4.8929,1.5888,28,5.9,1.044,30,6.069,0.8683,29,5.6667,1.4625,24,1.7813,0.9917,32,4.25,1.1456,32,6.625,1.0232,32
granite,7,3.0606,1.9839,33,5.0625,0.8992,32,5.6129,1.9122,31,6.4688,1.1722,32,5.5667,1.6869,30,4.5517,1.7535,29,5.3333,1.2713,33,4.6875,1.7399,32,5.1,1.2207,30
granny,6,3.5,2.1179,34,7.0294,1.4849,34,5.0588,1.862,34,6.4375,0.9662,32,6.7576,0.4942,33,5.9615,1.344,26,1.8125,1.0136,32,3.3636,1.7024,33,1.2941,0.6197,34
grape,5,4.4839,1.8815,31,6.037,0.9615,27,5.2692,1.0582,26,6.48,0.9847,25,6.68,0.6765,25,6.3333,0.7993,24,2.1429,0.8748,28,1.5667,0.8825,30,3.7692,0.639,26
grapes,6,4.4412,2.0749,34,6,1.0954,35,5.4194,1.3386,31,6.6,0.7635,35,6.6,1.0198,30,6.2333,1.2828,30,2.1176,0.718,34,1.8824,1.0783,34,3.1176,0.8998,34
graph,5,2.9091,1.6397,33,4.9667,1.1686,30,5.129,1.581,31,5.6364,1.2984,33,6.1613,1.2725,31,6.1333,0.9911,30,4.3333,0.8409,33,3.0313,1.1315,32,4.75,0.866,32
graphic,7,4.8788,2.3323,33,4.7647,1.3297,34,5.4545,1.4162,33,3.9118,1.4424,34,4.0857,1.7464,35,5,1.3904,30,5.2353,1.3517,34,4.1471,1.2159,34,4.9375,0.8268,32
grasp,5,5.2353,2.2104,34,5.0882,1.3365,34,6.0313,1.9603,32,3.8529,1.5929,34,4.1212,1.5326,33,5.4194,1.386,31,4.5294,1.46,34,3.6364,1.2509,33,4.5758,1.1018,33
grass,5,3.8667,1.9619,30,6.069,1.5742,29,5.8214,1.1968,28,6.5484,0.7967,31,6.84,0.463,25,6.1923,0.8779,26,2,1.0328,30,3.4194,1.7371,31,3.9259,1.0515,27
grasshopper,11,3.8857,1.9679,35,5.1818,0.9678,33,5.2188,1.6533,32,6.3939,1.0993,33,6.4,1.1263,35,4.8065,1.8565,31,3.0571,1.2636,35,1.4118,0.8784,34,4.2353,0.7692,34
grateful,8,5.0588,1.7977,34,7.3226,1.3533,31,5.4063,1.9663,32,2.9394,0.9829,33,3.2647,1.5206,34,5.8966,1.0617,29,3.9706,1.2001,34,4.9091,0.9959,33,2.9118,1.1211,34
gratitude,9,5.4286,2.2076,35,7.8529,1.0609,34,5.4375,2.5487,32,2.5938,1.2713,32,3.7647,1.716,34,5.2424,1.3491,33,5.3824,1.3507,34,5.5,0.9156,34,3.0606,1.0427,33
grave,5,4.6875,2.0682,32,2.4242,1.2068,33,3.2581,1.9002,31,5.4483,1.5666,29,6.1852,1.1234,27,4.9286,1.4863,28,3.6563,1.2147,32,3.5,1.2748,32,4.3571,0.5487,28
grave (cemetary),5,3.7879,2.1708,33,2.6667,1.3633,33,3.75,1.7678,32,6.4571,0.7688,35,6.3824,1.0294,34,5.7273,1.3545,33,3.6286,1.1486,35,5.2647,1.5588,34,4.5758,0.9857,33
grave (serious),5,4.5758,2.6404,33,2.6286,1.3541,35,4.8529,2.475,34,2.8857,1.4885,35,3.6471,1.9686,34,4.6875,1.7755,32,5.3714,1.2892,35,4.9412,1.4337,34,4.8857,1.1154,35
gravel,6,3.1935,2.0544,31,4.6452,0.8632,31,4.9655,1.1592,29,6.3462,1.0721,26,5.9,1.3988,30,4.3478,1.7597,23,3.9063,1.6078,32,2.4828,1.4293,29,5.5,0.7638,24
gravity,7,5.1333,2.0287,30,6.0323,1.092,31,3.2069,2.4966,29,4.0303,2.2762,33,2.6875,1.7036,32,5.8621,1.1663,29,4.4375,1.0879,32,6.0645,1.1622,31,4.3667,0.875,30
grease,6,3,1.815,34,3.6452,1.2839,31,4.7879,1.2494,33,5.6765,1.2059,34,6.0303,1.0867,33,5,1.5658,31,4.0571,1.1939,35,3.2941,1.2012,34,4.8824,1.1572,34
great,5,6.2121,1.8547,33,8.2941,0.7487,34,6.6774,1.5531,31,2.8438,1.5023,32,2.875,1.6724,32,6.4074,1.1944,27,2.6765,1.2537,34,5.7273,1.2129,33,4,1.1807,33
greed,5,4.5806,2.2969,31,2.2647,1.0378,34,4.6471,2.2345,34,3.2059,1.623,34,3.5313,1.5609,32,5.3,1.2949,30,3.6364,1.2749,33,4.9063,1.5281,32,5.6452,1.0939,31
greedy,6,4.6129,2.0109,31,2.5625,0.9333,32,5.2903,2.3718,31,3.5161,1.2919,31,4.6774,1.4895,31,6.0345,1.2994,29,2.9063,1.4,32,5.0323,1.4916,31,5.1212,1.0943,33
green,5,5.1563,1.9057,32,6.1379,1.2791,29,5.5,1.2677,28,4.6429,1.8364,28,6.3214,0.8474,28,6.6957,0.4601,23,2,0.7303,30,4.1333,1.1757,30,4.3043,1.0398,23
green (colour),5,4.5882,2.0309,34,5.8824,1.207,34,5.0588,1.6439,34,4.6364,2.0717,33,6.8824,0.3222,34,6.6129,0.7038,31,1.7143,0.9125,35,3.8857,1.4096,35,3.7273,1.2376,33
green (environmental),5,4.5,2.1794,32,7.1143,1.72,35,5.4545,1.7938,33,3.375,1.5959,32,4.1714,1.7966,35,5.7742,1.4747,31,5.0606,1.5362,33,5.7273,1.2619,33,3.0303,0.9995,33
green (naive),5,3.8387,1.8156,31,3.9677,1.713,31,4.129,1.9467,31,2.6552,1.6034,29,2.6875,1.9274,32,3.1935,2.0701,31,5.7813,1.4945,32,3.1667,1.1279,30,3.8,1.077,30
greet,5,5.2647,1.7373,34,6.9394,1.0993,33,5.3824,2.0866,34,3.6471,1.4528,34,4.6061,1.3243,33,5.6129,1.0057,31,3.6765,1.1561,34,3.5938,1.3195,32,3.5758,1.1555,33
grenade,7,5.3429,2.8177,35,2.3333,1.1721,33,5.5313,2.5615,32,6.3333,1.3853,33,6.2647,0.9174,34,4.5938,1.8851,32,5.2647,1.1958,34,3.5758,1.8262,33,6.1471,0.8092,34
grey,4,2.3438,1.5534,32,3.9394,1.1791,33,4.7059,1.5249,34,5,1.891,33,6.2188,1.0528,32,6.0667,1.2092,30,2.0588,0.7252,34,3.4118,1.1911,34,4.7188,0.8744,32
griddle,7,3.5,1.7842,30,5.1034,0.8028,29,4.8276,1.1468,29,5.8846,1.502,26,5.3846,1.903,26,3.1515,2.0018,33,6.1379,1.0077,29,2.963,1.2317,27,4.3793,1.1865,29
grief,5,4.871,2.814,31,1.9412,0.8381,34,3.6176,2.1284,34,3.1429,1.7426,35,3.8857,1.8169,35,5.375,1.6154,32,4.5429,1.1299,35,5.375,1.4307,32,3.5484,1.0109,31
grieve,6,4.0588,2.5661,34,1.875,1.3405,32,3.0303,1.6046,33,3.1429,1.3553,35,4.2941,1.9025,34,5.0882,1.5787,34,4.9714,0.9996,35,5.4242,1.5769,33,3.4857,1.2506,35
grim,4,3.8,2.0396,35,2.2857,1.1102,35,3.7429,1.5738,35,3.1429,1.6061,35,3.8571,1.4763,35,4.6452,1.7515,31,5.0857,1.1556,35,4.3333,1.3409,33,4.9394,1.1791,33
grime,5,3.3103,2.0861,29,2.4848,1.1838,33,3.9394,1.7571,33,4.9394,1.5558,33,5.2424,1.5769,33,4.4375,1.8864,32,4.4242,1.3714,33,3.375,1.5762,32,5.0909,1.1379,33
grin,4,5.9706,2.2424,34,7.1471,1.1914,34,6.2571,1.3383,35,5.4706,1.5384,34,6.2286,0.9285,35,5.5625,1.4128,32,3.3235,1.1561,34,4.0286,1.7966,35,4.3714,1.2209,35
grind,5,4.8824,2.3233,34,4.1212,1.6098,33,5,1.7753,33,4.2286,1.436,35,4.1176,1.8112,34,4.5806,1.6219,31,5.2286,1.3328,35,3.1515,1.1579,33,4.9706,1.2001,34
gripe,5,3.9655,1.8286,29,3.5,1.476,28,4.4167,1.6309,24,3,1.1339,28,2.7037,1.3,27,2.7333,1.7499,30,5.7143,1.6444,28,3.5,1.5993,26,4.44,1.0229,25
groom,5,4.7188,2.3616,32,6.3333,1.6268,33,5.2813,1.6247,32,5.697,1.5073,33,5.8857,1.5075,35,4.9706,1.8066,34,4.0909,1.1379,33,4.1212,1.3873,33,6.5714,0.7667,35
groom (bride),5,5.5833,2.3019,36,7,1.6667,36,5.2903,1.5697,31,6.2727,1.0808,33,6.6667,0.804,33,5.871,1.4971,31,3.8611,1.3156,36,4.2857,1.4456,35,6.0278,1.4997,36
groom (look after),5,5.125,2.0425,32,7,1.2443,31,5.625,2.2044,32,3.6667,1.3633,33,4.4688,1.7675,32,4.7097,1.7633,31,4.6364,1.2749,33,3.5,1.0897,32,3.7576,1.9389,33
gross,5,3.7059,2.3829,34,2.7059,1.1512,34,4.3438,1.4493,32,2.8485,1.3734,33,4.4545,1.9242,33,5.08,1.6228,25,4,1.4349,34,4.3438,1.5332,32,4.7813,1.0821,32
grotesque,9,5.3125,2.755,32,1.9118,1.1471,34,4.1,1.8682,30,3.5938,1.8176,32,4.7813,1.8326,32,3.7333,1.2893,30,5.6286,1.0166,35,4.8438,1.2774,32,5.1212,1.0078,33
ground,6,3.125,1.7275,32,5.4333,0.9894,30,5.5806,1.7185,31,6.3939,1.0993,33,6.3548,0.8998,31,6.3929,0.7718,28,2.6364,0.9151,33,5.2188,1.452,32,4.4667,0.67,30
grow,4,5.5,1.5652,30,6.9355,1.1341,31,5.4516,1.6429,31,3.5806,1.3143,31,4.0968,1.3994,31,5.9167,0.9538,24,2.5313,1.0602,32,5,1.0328,30,4.0769,0.8737,26
growl,5,5.5,2.1996,34,3.2059,0.867,34,5.5714,2.2588,35,4.5882,1.7676,34,4.6563,1.9782,32,4.6452,1.7879,31,3,1.1212,35,4,1.5146,34,5.7647,1.1646,34
guard,5,5.2727,1.6746,33,4.8788,1.6285,33,4.75,2.5372,32,5.2333,1.4761,30,5.4667,1.0562,30,5.0385,1.315,26,3.875,0.857,32,4.3667,1.1686,30,5.5625,0.8268,32
guest,5,4.9375,1.4564,32,5.7333,1.0625,30,4.8387,1.526,31,4.5667,1.2297,30,4.2333,1.5206,30,5.8333,0.9428,24,3.2813,0.8744,32,3.7667,1.2023,30,3.6129,1.0057,31
guide,5,4.1563,1.8219,32,6.2353,1.1646,34,5.3438,2.3131,32,4.5625,1.4564,32,4.4848,1.52,33,5.4839,1.3409,31,4.2647,1.1196,34,3.7879,1.2494,33,4.125,1.0533,32
guided,6,4.0882,1.6515,34,6.4118,1.0323,34,2.9429,1.7879,35,3.3714,1.1973,35,3.7353,1.945,34,5.2903,1.3957,31,3.9697,1.1674,33,4.2059,1.051,34,3.5294,0.7759,34
guilt,5,4.697,2.3547,33,2.2121,1.0943,33,3.0606,1.6867,33,2.5294,1.2888,34,3,1.3284,34,5.9333,1.3149,30,4.1471,1.2864,34,5.5294,1.1437,34,4.0625,1.1439,32
guilty,6,5.5625,2.6568,32,2.2941,1.2255,34,3.5758,2.4375,33,2.7714,1.6576,35,3.7059,1.6896,34,5.7097,1.4634,31,4.0588,1.2113,34,4.9714,1.5397,35,4.7059,1.1765,34
guitar,6,5.5,1.8753,30,6.6,1.2275,30,5.7,1.3204,30,6.6552,0.6579,29,6.7778,0.6849,27,6.381,1.0455,21,3.2121,0.8793,33,3.931,1.3628,29,4.9615,1.0554,26
gullet,6,3.6538,2.0744,26,4.24,1.5564,25,4.2222,1.2571,27,5.76,1.3048,25,4.3704,1.7029,27,2.8966,1.7089,29,6.1481,0.9701,27,2.913,1.0178,23,4.6923,0.9102,26
gullible,8,3.8125,1.8103,32,3.129,0.9752,31,3.1515,1.5787,33,2.6471,1.2339,34,2.7941,1.5488,34,5.0645,1.6448,31,5.0286,0.9706,35,3.6471,1.6249,34,4.1935,0.8199,31
gun,3,5.5714,2.739,35,2.7353,2.1325,34,5.1471,2.9915,34,6.4839,1.0433,31,6.6857,0.7845,35,6.4118,0.8784,34,2.8571,1.1986,35,3.6471,1.9983,34,6.0571,0.8261,35
gym,3,5.2121,2.3323,33,5.4333,2.0605,30,5.4,2.1071,30,6.5313,0.9349,32,6.5172,0.7711,29,6.2143,1.1759,28,3.7813,1.4083,32,4.0333,1.6017,30,5.2581,0.9827,31
gymnast,7,5.7333,1.7114,30,5.7143,1.1102,35,5.2571,1.8569,35,6.1,0.7461,30,6.5,0.6614,32,5.5152,1.5977,33,4.0571,1.1198,35,3.5625,1.3214,32,2.6765,1.277,34
gymnastics,10,5.4063,2.0288,32,6.2286,1.3328,35,5.5313,1.2987,32,5,1.545,31,5.75,1.4361,32,4.8929,1.739,28,3.5,1.0361,34,4.5625,1.2732,32,2.5588,1.0898,34
habit,5,3.4839,1.7109,62,4.7077,1.1465,65,4.1935,1.7946,62,3.7385,1.532,65,3.4697,1.6897,66,5.931,1.0964,58,3.8462,1.2182,65,3.8226,1.2118,62,3.8889,1.2359,63
habit (nun),5,3.2813,1.9722,32,4.6667,1.4071,33,4.2333,1.585,30,5.5172,1.632,29,5.1034,1.9887,29,3,1.9403,34,5.4333,1.3828,30,3.375,1.317,32,2.2581,1.015,31
habit (smoking),5,3.697,2.4182,33,2.0606,1.0993,33,3.3636,2.4098,33,4.0968,2.1,31,4.5152,1.9247,33,5.6667,1.66,30,4.3714,1.4945,35,4.8,1.7205,35,4.7941,1.1576,34
habituate,9,3.4828,1.5674,29,5.0667,0.9978,30,4.4286,1.2657,28,2.0667,0.8537,30,1.8214,0.9656,28,2.8667,1.9276,30,6.5,0.8851,30,4.1786,1.1666,28,3.7391,0.8953,23
hackney,7,3.7308,2.1937,26,4.8966,1.4703,29,4.5357,1.6793,28,4.6786,1.6048,28,4.1,2.3,30,3.2,2.104,30,6.1667,1.3437,30,3.8077,1.4681,26,4.931,1.3879,29
hair,4,4.9375,1.7309,32,5.7778,1.1967,27,5.4,1.7049,30,6.5769,0.6891,26,6.5172,0.7711,29,6.7619,0.4259,21,2.0313,0.7699,32,2.5172,1.1633,29,2.6,1.0198,30
hairdryer,9,3.2059,1.623,34,5.2424,0.8539,33,5.5,1.4603,34,6.8529,0.4293,34,6.75,0.6614,32,6.1935,1.1478,31,3.1471,1.0328,34,2.6667,1.5699,33,1.9412,0.9983,34
half,4,3.7059,1.8235,34,4.6571,1.0404,35,5.1143,1.4885,35,4.6364,2.0124,33,4.7143,1.4846,35,6.1935,1.1755,31,2.5294,0.9151,34,3.1765,0.954,34,3.9714,0.6963,35
hall,4,2.8667,1.335,30,5.1111,0.5666,27,4.8966,1.155,29,5.8148,1.1559,27,5.8846,1.0498,26,6,1.3009,26,3,1.5411,32,4.4688,1.2744,32,4.1111,0.8315,27
hallucination,13,5.1818,2.2082,33,3.7059,1.4659,34,3.2647,1.7203,34,3.3824,1.9253,34,3.8125,1.7399,32,4.9063,1.5281,32,5.7879,1.0662,33,5.2727,1.1876,33,3.9063,0.8046,32
hallway,7,2.4242,1.5769,33,5.1212,1.0078,33,4.7059,0.6655,34,6.4333,0.9551,30,6.5152,0.821,33,5.9697,1.193,33,3.1176,1.1315,34,3.8485,1.5977,33,3.8182,0.6722,33
ham,3,3.5625,2.3176,32,5.2727,1.5428,33,5,1.2309,33,6.6667,0.7888,30,6.5625,0.7043,32,6.1379,1.1955,29,2.0286,0.654,35,2.5,1.199,32,4.4848,0.8918,33
hamlet,6,4.0667,2.1746,30,5.2424,0.9544,33,5.0606,1.2294,33,5.1613,1.547,31,5,1.8837,31,3.0571,1.6203,35,5.6875,1.1022,32,3,2.0161,31,4.6364,1.3667,33
hammer,6,4.8529,2.3531,34,4.6176,1.237,34,5.5882,2.2376,34,6.6364,0.7311,33,6.6286,0.7592,35,5.4242,1.5576,33,2.8,0.9196,35,3.5429,1.4608,35,5.9706,0.9231,34
hammered,8,5.5455,2.1615,33,3.9394,1.3243,33,5.1875,2.0682,32,3.8788,1.7539,33,4.5625,1.853,32,4.9032,1.8024,31,5.0303,1.487,33,4.3226,1.3048,31,5.5758,1.2068,33
hammered (drunk),8,5.8286,2.3963,35,3.7647,2.0445,34,3.8571,2.4973,35,3.4571,1.7622,35,5.7353,1.3786,34,5.6286,1.5135,35,6.4286,1.0222,35,4.5143,1.3809,35,5.9118,1.0674,34
hammered (nail),8,4.5625,2.384,32,4.4118,1.2155,34,5.7353,2.0907,34,5.2647,1.5398,34,5.2857,1.683,35,5.0625,1.7489,32,3.9714,1.5397,35,3.4706,1.48,34,5.9706,0.822,34
hammock,7,4.1515,2.1898,33,5.7576,1.2068,33,5.2941,1.2255,34,6.1786,0.8474,28,6.1875,1.2103,32,4.6,1.8367,30,4.5588,1.2173,34,3.5882,1.717,34,4.3939,0.9515,33
hamster,7,3.4545,2.3367,33,5.871,1.0078,31,5.6452,1.6762,31,6.7941,0.4715,34,6.6286,0.7959,35,5.9355,1.3425,31,2.2857,0.6999,35,1.7714,1.0166,35,3.5152,1.1579,33
hand,4,3.8788,2.0854,33,5.8286,1.3199,35,5.7576,2.0894,33,6.6571,0.7538,35,6.9,0.3958,30,6.8667,0.3399,30,1.7143,1.0575,35,2.9429,1.6552,35,4.3143,1.2597,35
handbag,7,4.4848,2.0907,33,5.75,1.4142,32,5.125,1.4737,32,6.5161,0.9113,31,6.8387,0.5734,31,6.4333,0.7608,30,2.8788,1.1744,33,2.7188,1.2051,32,1.3226,0.532,31
handful,7,4.3333,2.1835,33,5.1471,1.4977,34,5.5152,1.5594,33,4.2727,1.5428,33,5.2424,1.6702,33,5.8,1.3565,25,3.1515,1.048,33,3.5152,1.7943,33,4.2647,0.8509,34
handicapped,11,3.8824,2.2198,34,3.0571,1.4131,35,2.9429,1.8196,35,4.5313,1.7136,32,5.4848,1.4796,33,4.5806,1.4318,31,4.7714,1.1732,35,4.2941,1.2255,34,4.1818,0.6722,33
